Name,PostalCode,Locality,RegionalKey,Borough,Suburb
Dorfstr.,55624,Schwerbach,07134079,,
Dorfstr.,56864,Hontheim,07231057,,
Dorfstr.,57612,Volkerzen,07132110,,
Dorfstr.,98530,Grub,16069017,,
Dorfstr.,98553,Eichenberg,16069011,,
Dorfstr.,98663,Schweickershausen,16069046,,
Dorfstr.,99441,Lehnstedt,16071049,,
Dorfstr.,99510,Obertrebra,16071069,,
Dorfstr.,99518,Eberstedt,16071015,,
Dorfstr.,99638,Büchel,16068005,,
Dorfstr.,99718,Niederbösa,16065048,,
Dr.-Frössel-Allee,37412,Harz (Landkreis Göttingen),03159501,,
Dreifaltigkeitsberg,84164,Weng,09274188,,
Drögen-Hasen-Weg,26129,Bad Zwischenahn,03451002,,
Duten,24782,Alt Duvenstedt,01058003,,
Dürkheimer Weg,67098,Wachenheim an der Weinstraße,07332046,,
E 6,29386,Obernholz,03151019,,
E,22880,Wedel,01056050,,
E,23775,Großenbrode,01055017,,
E,47533,Kleve,05154036,,
E- Wiese,56070,Koblenz,07111000,,
E-Flügel,01737,Tharandt,14628400,,
E-Flügel,09623,Rechenberg-Bienenmühle,14522470,,
E0,65197,Wiesbaden,06414000,Klarenthal,
Eckernförder Str.,24161,Kiel,01002000,,
Eckernkamp,32049,Vlotho,05758036,,
Ehem. Botanischer Garten / Aschenberg,39418,Staßfurt,15089310,Staßfurt,
Ehem. Chausseehaus,39439,Güsten,15089165,Amesdorf,
Ehem. Deponie Hympendahl,44263,Dortmund,05913000,Hörde,
Ehem. Deponie Hühnerheide,46147,Oberhausen,05119000,Sterkrade,
Ehem. Gutspark Gnewitz,18195,Gnewitz,13072034,,
Ehem. Gutspark,18195,Stubbendorf,13072102,,
Ehem. Kirche Allenspach,78583,Böttingen,08327006,,
Ehem. Lessingstr.,90587,Veitsbronn,09573130,,
Ehem. Naturbad Biebertal,58710,Menden (Sauerland),05962040,,
Ehem. Obereichsfelder Kleinbahn Silberhausen - Hüpstedt,37351,Dingelstädt,16061118,Hüpstedt,
Ehem. Pfarrhof-Garten,89359,Kötz,09774148,,
Ehemalige 20.000 Kilo Waage,42651,Solingen,05122000,,
Ehemalige Auslagergasse,60594,Frankfurt am Main,06412000,Süd,Sachsenhausen Nord
Ehemalige Bullenmastanlage,04874,Belgern,14730045,Belgern,
Ehemalige Hainer Gasse,60594,Frankfurt am Main,06412000,Süd,Sachsenhausen Nord
Ehemalige Hülbe,73312,Geislingen an der Steige,08117024,Aufhausen,
Ehemalige L 1103,74348,Lauffen am Neckar,08125056,,
Ehemalige Panzerstr. Weltkrieg II,88364,Wolfegg,08436085,,
Ehemalige Reichsautobahn,66877,Ramstein-Miesenbach,07335038,,
Ehemalige Schmalspurbahn Thum-Schönfeld/Wiesa,09468,Geyer,14521210,,
Ehemalige WÜ33,97256,Geroldshausen,09679137,,
Ehemalige Zeche Königsborn Schachtanlage 3/4,59199,Bönen,05978008,,
Ehemaliger Appellplatz,21039,Hamburg,02000000,Bergedorf,Neuengamme
Ehemaliger Botanischer Garten,66123,Saarbrücken,10041100,Bezirk Mitte,St. Johann
Ehemaliger Brauereisee,97464,Niederwerrn,09678160,,
Ehemaliger Feuerwehrteich,38889,Blankenburg,15085055,Heimburg,
Ehemaliger Frankenhofgang,60594,Frankfurt am Main,06412000,Süd,Sachsenhausen Nord
Ehemaliger Friedhof,55126,Mainz,07315000,Finthen,
Ehemaliger Haustierpark Lelkendorf,17168,Lelkendorf,13072066,,
Ehemaliger Kath. Friedhof Milspe,58256,Ennepetal,05954008,,
Ehemaliger Kirchhof,61440,Oberursel (Taunus),06434008,Weißkirchen,
Ehemaliger Pfarrgarten,56820,Mesenich,07135060,,
Ehemaliger Reitplatz,91052,Erlangen,09562000,,
Ehemaliger Spielplatz,35274,Kirchhain,06534011,Kirchhain,
Ehemaliger Weg nach Preensberg,23992,Züsow,13074091,,
Ehemaliger landwirtschaftlicher Flugplatz.,03130,Felixsee,12071074,Reuthen,
Ehemaliges Freibad Bad Wurzach,88410,Bad Wurzach,08436010,,
Ehemaliges Gartenschaugelände,72160,Horb am Neckar,08237040,,
Ehemaliges Kloster Obermarchtal,89611,Obermarchtal,08425090,,
Ehemaliges Zementwerk,38364,Schöningen,03154019,,
Ehlenbrucher Str.,32791,Leopoldshöhe,05766048,Greste,
Eichelsbacher Mühle,66954,Vinningen,07340053,,
Eisenbergstr.,36275,Neuenstein,06632014,Salzberg,
Elisabethgroden,26409,Wangerland,03455020,,
Elly-Beinhorn-Str.,65824,Eschborn,06436003,,
Elmautostr.,38170,Voigtsdahlum,03158503,,
Elmenhorster Str.,23869,Bargfeld-Stegen,01062005,,
Emmendinger Str.,79331,Emmendingen,08316011,Mundingen,
Endertstr.,56812,Greimersburg,07135036,,
Erdlinsbach,77761,Wolfach,08317145,,
Erlenweg,56130,Eitelborn,07143013,,
Eschenbacher Str.,73037,Heiningen,08117030,,
Eslingholz,24891,Mohrkirch,01059060,,
F - Flügel,01737,Tharandt,14628400,,
F 1 Freifläche,60327,Frankfurt am Main,06412000,Innenstadt 2,Westend Süd
F,22880,Wedel,01056050,,
F,23775,Großenbrode,01055017,,
Fahrenbacher Str.,95632,Tröstauer Forst-Ost,09479459,,
Felsbergerhof,67806,Imsweiler,07333034,,
Fercher Str.,14548,Werder (Havel),12069656,Petzow,
Ferchesarer Str.,14712,Stechow-Ferchesar,12063293,Stechow,
Ferienpark Wingertsberg,56754,Kollig,07137053,,
Flughafenstr.,18356,Divitz-Spoldershagen,13073018,,
